29012025120115, 14, "Stanley #2 Philips Screwdriver", 6.95, 1, 0.0, $6.95 January 29, 2025, 12:01:15 AM EST
29012025120115, 97634, "Campagnolo 12 spd crankset - 53/39 175mm", 750.0, 1, 0.0, $750.00 January 29, 2025, 12:01:15 AM EST

29082025120826, 14, "Stanley #2 Philips Screwdriver", 6.95, 1, 0.0, $6.95 January 29, 2025, 12:08:26 AM EST

29152025081538, 286934, "1 lb - coffee beans", 6.5, 100, 0.0, $650.00 January 29, 2025, 08:15:38 AM EST
29152025081538, 65435689, "12x16 paper cutter with ruler", 35.95, 4, 0.0, $143.80 January 29, 2025, 08:15:38 AM EST
29152025081538, 47831, "8x10 picture frame", 4.95, 200, 0.0, $990.00 January 29, 2025, 08:15:38 AM EST
29152025081538, 115694, "Colnago V3RS - UAE frame", 8500.0, 2, 0.0, $17000.00 January 29, 2025, 08:15:38 AM EST
29152025081538, 4499120, "M&Ms dark chocolate w/peanuts - 3oz", 2.5, 4, 0.0, $10.00 January 29, 2025, 08:15:38 AM EST

29182025081813, 2, "Tamiya 2oz paint - ferrari red", 2.39, 3, 0.0, $7.17 January 29, 2025, 08:18:13 AM EST
29182025081813, 29741, "Plush teddy bear 8 inch", 24.0, 3, 0.0, $72.00 January 29, 2025, 08:18:13 AM EST
29182025081813, 1111, "Top Secret Twenty One - Janet Evanovich", 8.99, 2, 0.0, $17.98 January 29, 2025, 08:18:13 AM EST
29182025081813, 3451, "Oakley Jawbreaker sunglasses", 236.0, 2, 0.0, $472.00 January 29, 2025, 08:18:13 AM EST

29212025082156, 14, "Stanley #2 Philips Screwdriver", 6.95, 4, 0.0, $27.80 January 29, 2025, 08:21:56 AM EST
29212025082156, 65435689, "12x16 paper cutter with ruler", 35.95, 2, 0.0, $71.90 January 29, 2025, 08:21:56 AM EST
29212025082156, 455654, "Park Tool 8mm threaded hook", 6.95, 2, 0.0, $13.90 January 29, 2025, 08:21:56 AM EST
29212025082156, 4762, "HP copy paper ultra white - ream", 13.5, 1, 0.0, $13.50 January 29, 2025, 08:21:56 AM EST
29212025082156, 4499120, "M&Ms dark chocolate w/peanuts - 3oz", 2.5, 2, 0.0, $5.00 January 29, 2025, 08:21:56 AM EST

29232025082335, 228865, "3M Super 33+ electrical tape", 3.5, 2, 0.0, $7.00 January 29, 2025, 08:23:35 AM EST
29232025082335, 387, "Brachs butterscotch hard candy - 1 lb", 4.5, 12, 0.0, $54.00 January 29, 2025, 08:23:35 AM EST
29232025082335, 3451, "Oakley Jawbreaker sunglasses", 236.0, 2, 0.0, $472.00 January 29, 2025, 08:23:35 AM EST
29232025082335, 198, "Box of 10 Sharpie Roller 0.5mm", 6.5, 2, 0.0, $13.00 January 29, 2025, 08:23:35 AM EST
29232025082335, 14, "Stanley #2 Philips Screwdriver", 6.95, 3, 0.0, $20.85 January 29, 2025, 08:23:35 AM EST

29362025083605, 298765, "3x5 index cards - 100 count", 2.25, 2, 0.0, $4.50 January 29, 2025, 08:36:05 AM EST
29362025083605, 1111, "Top Secret Twenty One - Janet Evanovich", 8.99, 2, 0.0, $17.98 January 29, 2025, 08:36:05 AM EST
29362025083605, 14, "Stanley #2 Philips Screwdriver", 6.95, 4, 0.0, $27.80 January 29, 2025, 08:36:05 AM EST

